iter	Passed	Remaining
0	513	512738
1	516	257502
2	517	171951
3	518	129159
4	520	103482
5	529	87716
6	530	75313
7	532	66007
8	533	58786
9	535	52983
10	536	48232
11	537	44290
12	539	40943
13	540	38073
14	544	35750
15	547	33680
16	549	31755
17	550	30037
18	551	28495
19	553	27107
20	559	26069
21	563	25051
22	564	23998
23	566	23031
24	567	22140
25	569	21318
26	570	20554
27	572	19873
28	577	19330
29	579	18730
30	581	18190
31	583	17662
32	651	19101
33	653	18559
34	654	18048
35	656	17567
36	657	17111
37	665	16840
38	666	16430
39	695	16685
40	699	16356
41	702	16018
42	705	15695
43	710	15446
44	712	15124
45	715	14828
46	716	14531
47	718	14242
48	722	14023
49	724	13761
50	725	13502
51	726	13252
52	728	13012
53	729	12782
54	731	12560
55	732	12347
56	734	12144
57	735	11944
58	736	11750
59	738	11563
60	739	11383
61	741	11221
62	743	11057
63	745	10900
64	747	10751
65	748	10596
66	753	10486
67	754	10341
68	755	10199
69	757	10060
70	758	9925
71	759	9794
72	761	9675
73	763	9551
74	765	9441
75	766	9324
76	768	9208
77	769	9095
78	771	8995
79	773	8892
80	774	8790
81	776	8689
82	776	8581
83	778	8484
84	779	8390
85	780	8298
86	782	8207
87	785	8143
88	787	8063
89	789	7982
90	790	7899
91	792	7817
92	793	7737
93	794	7659
94	796	7583
95	797	7508
96	798	7434
97	799	7362
98	801	7292
99	802	7225
100	804	7158
101	805	7095
102	807	7028
103	808	6962
104	810	6905
105	811	6846
106	813	6790
107	815	6736
108	816	6677
109	818	6620
110	819	6565
111	821	6511
112	822	6457
113	824	6404
114	825	6352
115	826	6300
116	827	6246
117	829	6196
118	830	6147
119	831	6098
120	833	6057
121	835	6009
122	836	5963
123	837	5918
124	839	5873
125	840	5829
126	841	5784
127	842	5742
128	844	5700
129	845	5659
130	846	5618
131	848	5580
132	849	5540
133	851	5501
134	852	5463
135	853	5425
136	856	5395
137	859	5365
138	863	5348
139	865	5314
140	866	5279
141	867	5243
142	869	5210
143	870	5176
144	872	5143
145	873	5111
146	875	5078
147	877	5053
148	879	5023
149	880	4991
150	882	4960
151	883	4930
152	885	4904
153	887	4877
154	889	4849
155	891	4821
156	892	4793
157	894	4764
158	895	4736
159	896	4708
160	897	4677
161	898	4649
162	903	4641
163	905	4614
164	906	4587
165	907	4561
166	909	4535
167	910	4508
168	911	4483
169	913	4458
170	914	4433
171	915	4408
172	916	4382
173	917	4356
174	918	4331
175	920	4309
176	922	4289
177	924	4267
178	925	4243
179	926	4220
180	927	4198
181	929	4176
182	930	4154
183	931	4132
184	933	4110
185	934	4089
186	935	4068
187	937	4047
188	938	4026
189	939	4006
190	941	3985
191	944	3975
192	946	3956
193	947	3936
194	948	3917
195	950	3898
196	951	3880
197	953	3861
198	954	3843
199	956	3824
200	957	3806
201	959	3788
202	960	3770
203	962	3754
204	963	3736
205	975	3760
206	977	3742
207	978	3725
208	979	3707
209	982	3695
210	983	3678
211	985	3662
212	986	3645
213	989	3634
214	991	3620
215	993	3606
216	995	3590
217	996	3574
218	997	3558
219	999	3543
220	1000	3527
221	1002	3511
222	1003	3497
223	1005	3482
224	1006	3466
225	1008	3452
226	1009	3438
227	1027	3480
228	1029	3465
229	1030	3449
230	1031	3434
231	1033	3421
232	1037	3415
233	1039	3401
234	1040	3386
235	1053	3409
236	1055	3396
237	1056	3382
238	1057	3368
239	1065	3374
240	1067	3363
241	1069	3350
242	1071	3337
243	1073	3324
244	1074	3310
245	1075	3297
246	1077	3283
247	1078	3271
248	1080	3258
249	1083	3250
250	1085	3239
251	1087	3226
252	1088	3213
253	1089	3200
254	1097	3205
255	1098	3192
256	1100	3181
257	1101	3169
258	1103	3156
259	1107	3152
260	1109	3140
261	1110	3128
262	1111	3115
263	1113	3103
264	1114	3091
265	1116	3080
266	1117	3068
267	1119	3057
268	1120	3046
269	1122	3034
270	1123	3022
271	1125	3011
272	1126	3000
273	1131	2998
274	1133	2987
275	1134	2976
276	1136	2965
277	1137	2954
278	1138	2943
279	1140	2933
280	1142	2923
281	1144	2913
282	1145	2902
283	1148	2896
284	1150	2885
285	1152	2878
286	1154	2868
287	1156	2858
288	1158	2849
289	1159	2838
290	1161	2829
291	1162	2819
292	1166	2815
293	1168	2805
294	1169	2795
295	1173	2790
296	1174	2781
297	1176	2771
298	1177	2761
299	1179	2751
300	1180	2741
301	1182	2732
302	1184	2724
303	1185	2714
304	1187	2705
305	1188	2695
306	1190	2686
307	1191	2677
308	1194	2671
309	1196	2663
310	1199	2656
311	1200	2647
312	1202	2638
313	1203	2630
314	1205	2621
315	1207	2613
316	1209	2606
317	1211	2598
318	1213	2590
319	1223	2599
320	1224	2590
321	1226	2581
322	1227	2573
323	1229	2564
324	1230	2555
325	1232	2548
326	1234	2540
327	1235	2532
328	1239	2526
329	1240	2519
330	1242	2510
331	1243	2502
332	1244	2493
333	1246	2484
334	1247	2476
335	1248	2467
336	1250	2459
337	1251	2450
338	1252	2442
339	1256	2439
340	1258	2433
341	1273	2450
342	1275	2442
343	1276	2434
344	1278	2426
345	1279	2418
346	1281	2410
347	1282	2403
348	1284	2395
349	1285	2387
350	1287	2379
351	1288	2372
352	1290	2364
353	1291	2356
354	1292	2348
355	1294	2341
356	1295	2333
357	1296	2325
358	1298	2318
359	1301	2314
360	1315	2329
361	1317	2321
362	1320	2316
363	1321	2308
364	1322	2301
365	1324	2294
366	1325	2286
367	1331	2286
368	1332	2279
369	1334	2271
370	1336	2265
371	1342	2266
372	1345	2262
373	1347	2254
374	1359	2266
375	1361	2259
376	1365	2255
377	1367	2250
378	1385	2270
379	1387	2263
380	1388	2256
381	1390	2249
382	1401	2257
383	1402	2250
384	1406	2246
385	1407	2239
386	1409	2231
387	1410	2225
388	1412	2218
389	1413	2211
390	1414	2203
391	1416	2196
392	1417	2189
393	1422	2188
394	1424	2181
395	1425	2174
396	1427	2167
397	1429	2161
398	1430	2155
399	1433	2149
400	1434	2142
401	1435	2135
402	1437	2129
403	1438	2122
404	1439	2115
405	1441	2108
406	1445	2106
407	1448	2101
408	1449	2095
409	1451	2088
410	1453	2083
411	1456	2078
412	1457	2071
413	1458	2064
414	1460	2058
415	1461	2051
416	1462	2045
417	1464	2038
418	1468	2035
419	1469	2029
420	1471	2023
421	1472	2016
422	1473	2010
423	1475	2003
424	1476	1997
425	1477	1990
426	1478	1984
427	1480	1978
428	1481	1971
429	1483	1965
430	1484	1959
431	1490	1960
432	1492	1954
433	1493	1947
434	1495	1941
435	1496	1935
436	1497	1929
437	1501	1926
438	1502	1920
439	1504	1915
440	1506	1909
441	1508	1904
442	1511	1900
443	1512	1894
444	1513	1888
445	1515	1881
446	1516	1875
447	1517	1869
448	1518	1863
449	1519	1857
450	1521	1851
451	1522	1846
452	1524	1840
453	1525	1835
454	1527	1829
455	1528	1823
456	1530	1818
457	1531	1812
458	1535	1809
459	1536	1804
460	1538	1799
461	1540	1793
462	1542	1788
463	1543	1783
464	1544	1777
465	1545	1771
466	1546	1765
467	1547	1759
468	1549	1753
469	1550	1748
470	1551	1742
471	1552	1736
472	1553	1730
473	1554	1725
474	1559	1723
475	1560	1718
476	1561	1712
477	1563	1707
478	1564	1701
479	1566	1697
480	1567	1691
481	1568	1686
482	1569	1680
483	1571	1674
484	1572	1669
485	1573	1663
486	1574	1658
487	1575	1652
488	1576	1647
